,Alabama,English,Class,Principal Parts,Derivation,Notes
1410,mobìlka impahkachi,car horn,,,[/mobil-ka3],
1411,mobìlka iswalìika,driver,,,[/mobil-ka1],
1412,mobìlkamiisa,carport,,,[/mobil-ka3],
1413,mobìlka waliilichi,"car motor, automobile engine",,,[/mobil-ka3],
1414,mobìlka waliilìichi,"chauffeur, taxi driver",,,[/mobil-ka3],
1415,mobìlkimapala,headlight,,,[/mobil-ka3],
1416,mobìlkimistika,automobile inspection sticker,,,[/mobil-ka3],
1417,mobìlkimokhicha,car door,,,[/mobil-ka3],
1418,mobìlkintalbòoli,auto mechanic,,,[/mobil-ka3],
1419,mobìlkintonotli,wheel,,,[/mobil-ka3],
1420,mobìlkischòopa,car salesperson,,,[/mobil-ka3],
1421,mobìlkiswakayka,car jack or lift,,,[/mobil-ka3],
1422,mobìlkittimayya,"automobile race, stock car race, drag race",,,[/mobil-ka3],
1423,mohka,"to moo, bellow",,,[prob. /moh-ka1],
1424,mohooka,"to moo, bellow (off in the distance)",,,[/moh<oo>-ka1],
1425,mók,"also, too; that",,,[/ma-o1],
1426,Mokáhyi,"a hero of 19th C., first English-speaking Alabama, raised by whites",,,,
1427,mókko,"No, it is not an X; no, it wasn't X; no, that's not right",,,[/ma-ókko],
1428,moⁿhka,Var. of mohka,,,,
1429,mooda,"motor, engine",,,,
1430,mookichi,"to mortgage, use something as collateral",-LI/3,"mookichitiska, mookichitilka, mookichitaska",,
1431,mòoko,Negative form of mooli,,,,
1432,mooli,ready! amen! that's all! the end!,,,[prob. /ma-ooli-o3],
1433,mòoli,"enough!, amen!, that's it, okay!, ready!; ready? alright? enough?",,,,
1434,mooliiya,"now, now then",,,[/ma-ooli-ya],
1435,móosi,"maternal uncle, mother's brother",AM-p,,,
1436,móoskat,"my!, gee!, well!",,,[prob. /mooli-ska-t],
1437,moota,Var. of mooda,,,,
1438,mootik,"but, on the other hand",,,[/moo(li)-tik],
1439,mooton,"now, and",,,[/moo(li)-t-o1],
1440,mootoolín,"but, however",,,[/moo(li)-t-ooli-n],
1441,móttàaki,"to be showing, be perceived, be seen, be visible",3; AM-,,,
1442,mottaíkko,Negative form of mottaki,,,,
1443,mottaki,"to be visible, legible, perceivable, perceptible, known",,,,
1444,mottakiichi,"to show, reveal, make known, discover, find, uncover",-LI/CHA-,"mottakiitiska, mottakiitilka, mottakiitaska",[/mottaki-chi1],
1445,mottakitíkko,Negative form of mottaki,,,,
1446,mottákkìichi,"to make an audible noise at a distance, be audible",-LI,"mottákkìitiska, mottákkìitilka, mottákkìitaska",[/mottaki-chi1],
1447,obàali,"to be behind, be in back",Other Verb,,,
1448,obakhititli,Var. of ibakhititli,,,,
1449,obakhititlichi,Var. of ibakhititlichi,,,,
1450,obakhitli,Var. of ibakhitli,,,,
1451,obakhitlichi,Var. of ibakhitlichi,,,,
1452,obaksolohka,to be skinny legged,CHA-,,[(obak) /soloh-ka1],
1453,obalsofka,"to be late, be running behind (of more than one)",CHA-,,[prob. from /obàali /so(o)fi-ka1],
1454,obaltammi,"to be running late, be late (of one)",CHA-,,[prob. from /obàali /tam-li],
1455,obaltammichi,to make (one person) late,-LI/CHA-,"obaltammichitiska, obaltammichitilka, obaltammichitaska",[/obaltammi-chi1],
1456,obaltanka,"lateness, tardiness",,,[/obaltam-ka1],
1457,obi,"thigh, ham (body part)",CHA-,,,
1458,obi abosli,ham,,,[/obi /abos-li],
1459,obìlli,brown bird the size of a robin,,,[/obi /illi],
1460,obisolohka,"to be weak-legged, weak-kneed, shaky on the feet",CHA-,,[/obi /solo<h>t-ka1],
1461,obisolóhka,type of bird that comes before the rain,,,[/obi /solo<h>t-ka1],
1462,obisolotka,"to be weak-legged, weak-kneed, shaky on the feet",CHA-,,[/obi /solot-ka1],
1463,obittaltàala,"area between the legs, groin, genitals",,,[/obi itti- /altàala],
1464,obítto,Var. of ibítto,,,,
1465,obiyyíksa,"to have a charley horse, have a muscle cramp in the upper leg",Other Verb,,[obi- -/iyyíksa],
1466,obiyyíksatilka,"charley horse, muscle cramp in the thigh",,,[obi- -/iyyíksa-tilka],
1467,ocha,"hickory, hickory nuts",,,,
1468,ochaabaski,Var. of ochahobaski,,,,
1469,ochaachala,"tree species like hickory or pecan with a smooth trunk, grows by creek bottoms",,,[prob.  /ocha],
1470,ochaatakba,Var. of ochatakba,,,,
1471,ochahobaski,pecan,,,[/ocha ho- /baski],
1472,ochahoɬka,hickory sofkey,,,[/ocha /hoɬka],
1473,ochana,"iron, metal; wood stove heater",,,,
1474,ochana aaholponi,"cookstove, stove",,,[/ochana aa- /ho<l>poni],
1475,ochana aahoponka,"metal cookware, pots and pans",,,[/ochana aa- /hoponi-ka1],
1476,ochanaayàmpo,"pot, pan",,,[/ochana /aayampo],
1477,ochanaayàmpo sokpa,aluminum foil pan,,,[/ochana /aayampo /sokpa],
1478,ochanahalokpa,steel wedge,,,[/ochana /halokpa],
1479,ochanaholihta istiⁿhachàali,wire fence post,,,[/ocha-n /holihta ist-im- /hachàa-li],
1480,ochana isholihta,"wire fence, netwire fence",,,[/ochana ist- /holihta],
1481,ochana ittatakkachi,metal chain,,,[/ochana itti- /atak(àa)-ka1],
1482,ochanalaana,copper,,,[/ochana /laana],
1483,ochana naaɬiilka,any modern electronic talking machine,,,[/ochana /naaɬii<il>-ka1],
1484,ochanasokpa,"any light metal, esp. aluminum foil",,,[/ochana /sokpa],
1485,ochanaspatàaka,"any metal spring, esp. bedspring",,,[/ochana ist- /patàa-ka1],
1486,ochanàtka,"(metal) bucket, can, tin can",,,[poss.  /ochana /hatka],
1487,ochanàtka bila,"tin can, bucket",,,[/ochanàtka /bila],
1488,ochanàtkasi,small tin can,,,[/ochanàtka-osi],
1489,ochanàtkasi istintiyapka,can opener,,,[/ochanàtka-osi ist-im- /tiyap-ka1],
1490,ochanayàmpo,Var. of ochanaayàmpo,,,,
1491,ochanisholihta,Var. of ochana isholihta,,,,
1492,ochanisholìhta halokpa,barbed wire fence,,,[/ochana ist- /holihta /halokpa],
1493,ochanispoyatli,"skillet, frying pan",,,[/ochana ist- /poyat-li],
1494,ochaobaski,Var. of ochahobaski,,,,
1495,ochatakba,"shagbark hickory, bitternut hickory",,,[/ocha /takba],
1496,ochatapaski,black walnut (?) tree,,,[/ocha /tapaski],
1497,ochokba,bottle,,,,
1498,ochokba basilka,"bottle shards, glass slivers",,,[/ochokba /bas<il>-ka1],
1499,ochokba wanha,jug,,,[/ochokba /wanha],
1500,ochokbistimokbahka pakto,cork,,,[/ochokba ist-im- /okbah-ka1],
1501,ochona,Var. of ochana,,,,
1502,ochona aahiɬka,heater,,,[/ochona aa- /hiɬ-ka1],
1503,ochonahalokpa,Var. of ochanahalokpa,,,,
1504,ochonahollo,magnet,,,[/ochona /hollo],
1505,ochona ittokolofka,steel drum,,,[/ochona /itto /kolof-ka1],
1506,ochonakolofka,Var. of ochona ittokolofka,,,,
1507,ochonalaana,Var. of ochanalaana,,,,
1508,ochona naaɬiilka,Var. of ochana naaɬiilka,,,,
1509,ochona olaachilka,brass musical instrument,,,[/ochona /ola-chi1],
1510,ochonapofilka,brass musical instrument,,,[/ochona /pof<il>-ka1],
1511,ochonasakla,"window screen, net wire, chicken wire",,,[/ochona /sakla],
1512,ochonasholihta,Var. of ochana isholihta,,,,
1513,ochonaskòlka,"cold chisel, hacksaw",,,[/ochona ist- /kol(of)-ka1],
1514,ochonaspatàaka,Var. of ochanaspatàaka,,,,
1515,ochonastafinapka,crowbar,,,[/ochona ist- /afinap-ka1],
1516,ochonastalikcho,steel cable,,,[/ochona ist- /ta<li>kcho],
1517,ochonastalpisa pakofka,metal square (tool),,,[/ochona ist- /alpisa /pakof-ka1],
1518,ochonàtka,Var. of ochanàtka,,,,
1519,ochonatóoɬka,"machines, machinery",,,[/ochona /tooɬ-ka1],
1520,ochonawalìika,machine (sg.),,,[/ochona /walii-ka1],
1521,ochòosi,"son; child, baby, offspring",CHA-,,,
1522,ochòostoba,"nephew, stepson, anyone like a son",,,[/ochòosi /toba],
1523,ochoski,"sons; children, babies, offspring",CHA-,,,
1524,ochoskíkso,Negative form of ochoski,,,,
1525,ochoskíkso báana,"to be barren, nulliparous, have no offspring",CHA-,,[/ochoski ík- /(i)sa-o2],
1526,ofolo,screech owl,,,,
1527,ofolo intato,kind of tree,,,[/ofolo im- /tato],
1528,óhhòocha,to be a long time,,,,
1529,óhhòochàasiiko,"to be a while ago, some time ago",,,[/ohóocha-osi-ka2],
1530,ohompa,Var. of oompa,,,,
1531,ohóocha,"to be old, elderly, ancient",CHA-,,,
1532,ohóochókko,Negative form of ohóocha,,,,
1533,okaamahli,Var. of maatokaamahli,,,,
1534,okaayikba,kettle,,,[/oki aa- /ikba],
1535,okaayisilka,water fountain,,,[/oki aa- /is(ko)-ilka],
1536,okali,Var. of okkali,,,,
1537,okbaali,Var. of okbahli,,,,
1538,okbahka,"to be blocked, closed",,,[/okbah-ka1],
1539,okbahli,"to close, shut (a door or window); to plug up, stop up; to dam up",-LI/3,"okbahchi, okbahhili, okbahhachi",[/okbah-li],
1540,okbàhli,to keep closed,-LI/3,"okbàhchi, okbàhhili, okbàhhachi",,
1541,okbohòolichi,"to whip, beat (liquid), churn, splash, stir up to muddy (water), mix up",Other Verb,,[(/okbohoo)-li-chi2],
1542,okbòolichi,Var. of okbohòolichi,,,,
1543,okchaako,watermelon,,,,
1544,okcháako,"to be raw, uncooked; to be tender; to be green, not ripe (as any tender vegetable or fruit)",,,,
1545,okchaaya,to come alive,CHA-,"as with other verbs of this shape whose last syllable begins with /l/, /h/, or /y/ the place of infixation is irregular and the pattern is that of verbs with a closed penultimate syllable",[prob. /okchaya],
1546,okcháaya,"to be still alive, (barely) living; to be conscious, awake",CHA-,,,
1547,okchaayachi,to bring to life,-LI/CHA-,"okchaayachitiska, okchaayachitilka, okchaayachitaska",[/okchaaya-chi1],
1548,okchakìiyo,Negative form of okchaaya,,,,
1549,okchakko,"to be blue, green, purple, violet, in the blue-green spectrum",CHA-,,,
1550,okchakkochi,"to make blue, green, or purple (with dye, paint, etc.)",-LI/3,"okchakkochitiska, okchakkochitilka, okchakkochitaska",[/okchakko-chi1],
1551,okchakkot anooka,to turn blue,CHA-,,[/okchakko-t /anoo-ka1],
1552,okchakkot hommakàhchi,to be reddish purple,CHA-,,[/okchakko-t /homma-kàhmi-hchi],
1553,okchakkotíkko,Negative form of okchakko,,,,
1554,okchakkot lochakàhchi,to be navy blue,CHA-,,[/okchakko-t /locha-kàhmi-hchi],
1555,okchaliiya,"life, living",,,[/okcha<li>aya],
1556,okchalìiya,being alive,,,[/okcha<li>aya],
1557,okchaɬchoba,"bird species, kind of fisher (?)",,,[/okcháɬɬa /choba],
1558,okcháɬɬa,small black bird species (about the size of a cardinal) which appear in large flocks,,,,
1559,okchamaali,to be clear (of liquid),,,,
1560,okchamáhko,Negative form of okchamaali,,,,
1561,okchamahli,Var. of okchamaali,,,,
1562,okchawahka,Var. of okchiwahka,,,,
1563,okchawohka,Var. of okchiwahka,,,,
1564,okchayàachi,to bring to life,-LI/CHA-,"okchayàachitiska, okchayàachitilka, okchayàachitaska",[/okchaya-chi1],
1565,okchi,"juice, soup, drippings",,,,
1566,okchíisa,"to have juice, be juicy",Other Verb,,[/okchi /íisa],
1567,okchisa,"oozing sore, blood blister,",,,,
1568,okchiwahka,"to churn, beat, or whip (a liquid or semi-solid), shake, beat, mix (food)",-LI/3,"okchiwahiska, okchiwahilka, okchiwahaska",[prob. /okchiwah-ka1],
1569,okchiwaíkko,Negative form of okchiwahka,,,,
1570,okcholotli,"to be clear, strained, clarified (of liquid)",,,[/okcholot-li],
1571,okcholotlichi,"to strain through a sieve, clarify (a liquid) by straining",-LI/3,"okcholotchichi, okcholothilichi, okcholothachichi",[/okcholot-li-chi1],
1572,okchoɬotlichi,Var. of okcholotlichi,,,,
1573,okchopi,beads; necklace; round button,,,,
1574,okchopibáana,to be beaded,,,[/okchopi /báana],
1575,okhabòoka,"to dive under water, go under water, submerge (repeatedly or more than one)",-LI,"okhabòohiska, okhabòohilka, okhabòohaska",[/okhabo(s)-ka1],
1576,okhabosíkko,Negative form of okhaboska,,,,
1577,okhabosilka,diving,,,[/okhabos<il>-ka1],
1578,okhaboska,"to dive under water, go under water, submerge once",-LI,"okhabosiska, okhabosilka, okhabosaska",[prob. /okhabos-ka1],
1579,okhaboslichi,to baptize (someone),Other Verb,,[/okhabos-li-chi1],
1580,okhawíita,perpendicular to,,,,
1581,okhicha,"door, gate",,,,
1582,okhicha istiyapka,doorknob; door key,,,[/okhicha ist- /tiyap-ka1],
1583,okhicha obàali,back door,,,[/okhicha /obáali],
1584,okhìchasakla,screen door,,,[/okhicha /sakla],
1585,okhìchastatakka,Var. of okhìchistatakka,,,,
1586,okhichastokbahka,"doorknob, any door handle",,,[/okhicha ist- /okbah-ka1],
1587,okhìchistatakka,door hinge,,,[/okhicha ist- /atak(àa)-ka1],
1588,okhiɬka,"to strain (food), scoop out, dip out with a strainer or slotted spoon; to seine (for fish), net (fish or mayhaws)",-LI/3,"okhiɬiska, okhiɬilka, okhiɬaska",[/okhiɬ-ka1],
1589,oki,water,,,,
1590,oki aayampostaasihka,dishwater,,,[/oki /aayampo ist- /aasih-ka1],
1591,oki aɬkatanooka,to return to normal (of water level in a creek or lake) after having been completely dry from a drought,,,[/oki /aɬi-ka1],
1592,okibanna,to be thirsty,CHA-/3,,[/oki /banna],
1593,okichoba,"ocean, sea",,,[/oki /choba],
1594,okichoba lapaalika,"beach, sea shore",,,[/oki /choba /lapaalika],
1595,okifa chinto,water moccasin snake,,,[/oki-fa /chinto],
1596,okifa itto,"water tupelo, tupelo gum",,,[/oki-fa /itto],
1597,okifoopatka,water lily,,,[/oki-fa oo- /pat(àa)-ka1],
1598,okihaatanàali,whirlpool,,,[/oki /haatana(t)-li],
1599,okihaatanatli,river bend,,,[/oki /haatanat-li],
1600,okihatka,ocean,,,[/oki /hat-ka1],
1601,okihatka lapaalika,beach,,,[/oki /hat-ka1],
1602,okihòllo,"small mysterious pond in which, if one gets too close to it or tries to cross it, one will drown",,,[/oki /hollo],
1603,okihomi,Var. of okiimi,,,,
1604,okihommachi,red sunset,,,[/oki /homma-chi1],
1605,okìibo,Negative form of oyba,,,,
1606,okíichòosiiko,Negative form of okíichosi,,,[/ohó<ki>ocha-o2],
1607,okíichosi,Negative form of ohóocha,,,,
1608,okìifo,Negative form of oofa,,,,
1609,oki iltootámmi,waterfall,,,[/oki ilt-oo- /tammi],
1610,okiimi,whiskey,,,[prob. /oki /homi],
1611,oki ispaatalàaka,"water tank, can, barrel",,,[/oki ist-paa- /talàa-ka1],
1612,oki istimbalàaka,water pipe,,,[/oki ist-im- /balaa-ka1],
1613,okìito,Negative form of ooti,,,,
1614,okikasahka,ice water,,,[/oki /kasah-ka1],
1615,okikba,hot water,,,[/oki /ikba],
1616,okilapàako,"slicker, raincoat",,,[/oki /lapàh-ki-o2],
1617,okiɬopotli,to have watery diarrhea,CHA-,,[/oki /ɬopot-li],
1618,okimaasoofka,"waterfall, falls",,,[/oki maat- /sofi-ka1],
1619,okimaatokoochi,"water pump, water well with rope and bucket",,,[/oki maat- /okoochi],
1620,okimaawalíika,running water (as with indoor plumbing),,,[/oki maat- /walii-ka1],
1621,okimoosi,type of water snake,,,,
1622,okin okhabòoka,to be baptized (of more than one),CHA-,,[/oki-n /okhabo(s)-ka1],
1623,okin okhaboska,to be baptized (of one),CHA-,,[/oki-n /okhabos-ka1],
1624,okin ooyilli,to drown,CHA-,,[/oki-n oo- /illi],
1625,okin ostokoochi,"to fetch water, carry water",-LI/3,,[/oki-n ost- /okoochi],
1626,okintìicho,Negative form of ontichi,,,,
1627,okínto,Negative form of onti,,,,
1628,okiomi,Var. of okiimi,,,,
1629,oki ootalàaka,"lake, deep pond",,,[/oki oo- /talàa-ka1],
1630,oki ootalàakasi,puddle,,,[/oki oo- /talaa-ka1],
1631,okipaasoofi,to baptize,-LI/CHA-,"okipaasoofchi, okipaasoofhili, okipaasoofhachi",[/oki paa- /soofi],
1632,okipalki,river rapids,,,[/oki /palki],
1633,okipofka,whale,,,[/oki /pof-ka1],
1634,okisawwa,"to be misty, to mist",Other Verb,,[/oki /sawwa],
1635,okishachàali,water well,,,[/oki ist- /hachàa-li],
1636,okisholisso,fountain pen,,,[/oki ist- /ho<li>sso],
1637,okispaachokòoli,"water tank, water tower",,,[/oki ist-paa- /chokòo-li],
1638,okispaahachàali,water tower,,,[/oki ist-paa- /hachàa-li],
1639,okispaatállàaka,"open water tank, rain barrel",,,[/oki ist-paa- /tállàa-ka1],
1640,okistalàaka,water pitcher,,,[/oki ist- /talàa-ka1],
1641,okistikba,kettle,,,[/oki ist- /ikba],
1642,okistisilka,dipper,,,[/oki ist- /is(ko)-ilka],
1643,okistootalàaka,"lake, deep pond; puddle",,,[/oki ist-oo- /talaa-ka1],
1644,okitakba,"hard water, bad-tasting water with minerals in it that leaves scum when it is used for washing",,,[/oki /takba],
1645,okitalàaka,"any small pool of standing water, puddle, pond",,,[/oki /talàa-ka1],
1646,okitáɬɬa,foreign country,,,[/oki /taɬɬa],
1647,okitáɬɬa pìnha oola,foreign country,,,[/oki /taɬɬa /pìnha /oola],
1648,okitapaski,Var. of oktapaski,,,,
1649,okiwalíika,running water (as in a house),,,[/oki /walii-ka1],
1650,okiwaliilichi,"to drain a lake, make a trench to allow water to run off",-LI/3,,[/oki /walii-li-chi1],
1651,okiyanátli,flowing water (as a stream or creek),,,[/oki /yanat-li],
1652,okiyanatli palki,river rapids,,,[/oki /yanat-li /palki],
1653,okiyowwa,Var. of okiyyowwa,,,,
1654,okiyowwasi,Var. of okiyyowwa,,,,
1655,okiyyilihkachi,"pond scum, algae",,,[/oki im- /yilihkachi],
1656,okiyyowwa,"tree frog, raincaller",,,[/oki im- /yowwa],
1657,okiyyowwasi,Var. of okiyyowwa,,,,
1658,okkali,"spring, spring creek (water) well",,,,
1659,okla,friend,,,,
1660,okɬi,"mud, clay",,,,
1661,okɬi aayampo,clay dish,,,[/okɬi /aayampo],
1662,okɬihomma,red clay,,,[/okɬi /homma],
1663,okɬipaspa,brick,,,[/okɬi /paspa],
1664,okɬipaspa aayampo,"pottery, clay pot",,,[/okɬi /paspa /aayampo],
1665,okɬiwanha,dirt clod,,,[/okɬi /wanha],
1666,okɬobobohka,"to bubble up and make the sound of bubbling liquid (as water boiling, soda fizzing, or when a person is drowning)",Other Verb,,[/okɬoboboh-ka1],
1667,okɬobobohkaha,medicine men or women,,,[/okɬoboboh-ka1],
1668,okɬobobohli,Var. of okɬoboboolichi,,,,
1669,okɬoboboolichi,to cause a liquid to bubble up and make a bubbling noise (as by blowing through a tube into water when making medicine),-LI,"okɬoboboochichi, okɬoboboohilichi, okɬoboboohachichi",[/okɬoboboh-li-chi1],
1670,okɬolohka,"to slurp, sip slowly (as when drinking hot coffee), make noise while drinking",Other Verb,,[ok- /ɬoloh-ka1],
1671,okɬolopka,Var. of okɬolohka,,,,
1672,okmálko,"gaspergou, freshwater drum, sheep's head fish",,,,
1673,okoochi,"to draw water, carry water, fetch water",-LI/3,"okoossi, okoolchi, okoohassi",[poss. /okochi for some speakers],
1674,okòochi,water carrier,,,,
1675,okòoɬa,"black chokeberry, also identified as blueberry hawthorn, little hip hawthorn, barberry hawthorn, parsley hawthorn",,,,
1676,okoomi,Var. of okiimi,,,,
1677,okoomischòopa,liquor store,,,[/okoomi ist- /choopa],
1678,okoosholi,okoochi,,,,
1679,okóosko,Negative form of okoochi,,,,
1680,okootalàaka,Var. of oki ootalàaka,,,,
1681,okootállàakoolo,"standing water, (permanent) puddle",,,[/oki oo- /talàa-ka1],
1682,okoowaykachi,willow,,,[/oki oo- /way-ka1],
1683,okpakàali,Var. of okpalàali,,,,
1684,okpalàako,Negative form of okpalàali,,,,
1685,okpalàali,"to float, be on top of the water",-LI,"okpalàachi, okpalàahili, okpalàahachi",[/okpalàa-li],
1686,okpalàyli,Var. of okpalàali,,,,
1687,okpállàali,"to be floating, be suspended in water",-LI,"okpállàachi, okpállàahili, okpállàahachi",[/okpalàa-li],
1688,oksátko,Negative form of oksatli,,,,
1689,oksatli,"to swell, be swollen",,,[/oksat-li],
1690,oksipàali,any long-legged white bird,,,,
1691,oktaali,"cleared, bare, or arid land (such as the area near the Trinity River); desert",,,,
1692,oktabòolichi,"to whip up, beat (liquid), churn, stir up to muddy (water), splash (water)",-LI/3,"oktabòochichi, oktabòohilichi, oktabòohachichi",[/oktabòo-li-chi2],
1693,oktakasbi,"to be thin (not dense), watery, diluted, liquid",,,,
1694,oktakasbichi,"to thin out, water down, dilute",-LI/3,"oktakasbichitiska, oktakasbichitilka, oktakasbichitaska",[/oktakasbi-chi1],
