,Alabama,English,Class
1572,okchoɬotlichi,Var. of okcholotlichi,
1573,okchopi,beads; necklace; round button,
1574,okchopibáana,to be beaded,
1575,okhabòoka,"to dive under water, go under water, submerge (repeatedly or more than one)",-LI
1576,okhabosíkko,Negative form of okhaboska,
1577,okhabosilka,diving,
1578,okhaboska,"to dive under water, go under water, submerge once",-LI
1579,okhaboslichi,to baptize (someone),Other Verb
1580,okhawíita,perpendicular to,
1581,okhicha,"door, gate",
1582,okhicha istiyapka,doorknob; door key,
1583,okhicha obàali,back door,
1584,okhìchasakla,screen door,
1585,okhìchastatakka,Var. of okhìchistatakka,
1586,okhichastokbahka,"doorknob, any door handle",
1587,okhìchistatakka,door hinge,
1588,okhiɬka,"to strain (food), scoop out, dip out with a strainer or slotted spoon; to seine (for fish), net (fish or mayhaws)",-LI/3
1589,oki,water,
1590,oki aayampostaasihka,dishwater,
1591,oki aɬkatanooka,to return to normal (of water level in a creek or lake) after having been completely dry from a drought,
1592,okibanna,to be thirsty,CHA-/3
1593,okichoba,"ocean, sea",
1594,okichoba lapaalika,"beach, sea shore",
1595,okifa chinto,water moccasin snake,
1596,okifa itto,"water tupelo, tupelo gum",
1597,okifoopatka,water lily,
1598,okihaatanàali,whirlpool,
1599,okihaatanatli,river bend,
1600,okihatka,ocean,
1601,okihatka lapaalika,beach,
1602,okihòllo,"small mysterious pond in which, if one gets too close to it or tries to cross it, one will drown",
1603,okihomi,Var. of okiimi,
1604,okihommachi,red sunset,
1605,okìibo,Negative form of oyba,
1606,okíichòosiiko,Negative form of okíichosi,
1607,okíichosi,Negative form of ohóocha,
1608,okìifo,Negative form of oofa,
1609,oki iltootámmi,waterfall,
1610,okiimi,whiskey,
1611,oki ispaatalàaka,"water tank, can, barrel",
1612,oki istimbalàaka,water pipe,
1613,okìito,Negative form of ooti,
1614,okikasahka,ice water,
1615,okikba,hot water,
1616,okilapàako,"slicker, raincoat",
1617,okiɬopotli,to have watery diarrhea,CHA-
1618,okimaasoofka,"waterfall, falls",
1619,okimaatokoochi,"water pump, water well with rope and bucket",
1620,okimaawalíika,running water (as with indoor plumbing),
1621,okimoosi,type of water snake,
1622,okin okhabòoka,to be baptized (of more than one),CHA-
1623,okin okhaboska,to be baptized (of one),CHA-
1624,okin ooyilli,to drown,CHA-
1625,okin ostokoochi,"to fetch water, carry water",-LI/3
1626,okintìicho,Negative form of ontichi,
1627,okínto,Negative form of onti,
1628,okiomi,Var. of okiimi,
1629,oki ootalàaka,"lake, deep pond",
1630,oki ootalàakasi,puddle,
1631,okipaasoofi,to baptize,-LI/CHA-
1632,okipalki,river rapids,
1633,okipofka,whale,
1634,okisawwa,"to be misty, to mist",Other Verb
1635,okishachàali,water well,
1636,okisholisso,fountain pen,
1637,okispaachokòoli,"water tank, water tower",
1638,okispaahachàali,water tower,
1639,okispaatállàaka,"open water tank, rain barrel",
1640,okistalàaka,water pitcher,
1641,okistikba,kettle,
1642,okistisilka,dipper,
1643,okistootalàaka,"lake, deep pond; puddle",
1644,okitakba,"hard water, bad-tasting water with minerals in it that leaves scum when it is used for washing",
1645,okitalàaka,"any small pool of standing water, puddle, pond",
1646,okitáɬɬa,foreign country,
1647,okitáɬɬa pìnha oola,foreign country,
1648,okitapaski,Var. of oktapaski,
1649,okiwalíika,running water (as in a house),
1650,okiwaliilichi,"to drain a lake, make a trench to allow water to run off",-LI/3
1651,okiyanátli,flowing water (as a stream or creek),
1652,okiyanatli palki,river rapids,
1653,okiyowwa,Var. of okiyyowwa,
1654,okiyowwasi,Var. of okiyyowwa,
1655,okiyyilihkachi,"pond scum, algae",
1656,okiyyowwa,"tree frog, raincaller",
1657,okiyyowwasi,Var. of okiyyowwa,
1658,okkali,"spring, spring creek (water) well",
1659,okla,friend,
1660,okɬi,"mud, clay",
1661,okɬi aayampo,clay dish,
1662,okɬihomma,red clay,
1663,okɬipaspa,brick,
1664,okɬipaspa aayampo,"pottery, clay pot",
1665,okɬiwanha,dirt clod,
1666,okɬobobohka,"to bubble up and make the sound of bubbling liquid (as water boiling, soda fizzing, or when a person is drowning)",Other Verb
1667,okɬobobohkaha,medicine men or women,
1668,okɬobobohli,Var. of okɬoboboolichi,
1669,okɬoboboolichi,to cause a liquid to bubble up and make a bubbling noise (as by blowing through a tube into water when making medicine),-LI
1670,okɬolohka,"to slurp, sip slowly (as when drinking hot coffee), make noise while drinking",Other Verb
1671,okɬolopka,Var. of okɬolohka,
1672,okmálko,"gaspergou, freshwater drum, sheep's head fish",
1673,okoochi,"to draw water, carry water, fetch water",-LI/3
1674,okòochi,water carrier,
1675,okòoɬa,"black chokeberry, also identified as blueberry hawthorn, little hip hawthorn, barberry hawthorn, parsley hawthorn",
1676,okoomi,Var. of okiimi,
1677,okoomischòopa,liquor store,
1678,okoosholi,okoochi,
1679,okóosko,Negative form of okoochi,
1680,okootalàaka,Var. of oki ootalàaka,
1681,okootállàakoolo,"standing water, (permanent) puddle",
1682,okoowaykachi,willow,
1683,okpakàali,Var. of okpalàali,
1684,okpalàako,Negative form of okpalàali,
1685,okpalàali,"to float, be on top of the water",-LI
1686,okpalàyli,Var. of okpalàali,
1687,okpállàali,"to be floating, be suspended in water",-LI
1688,oksátko,Negative form of oksatli,
1689,oksatli,"to swell, be swollen",
1690,oksipàali,any long-legged white bird,
1691,oktaali,"cleared, bare, or arid land (such as the area near the Trinity River); desert",
1692,oktabòolichi,"to whip up, beat (liquid), churn, stir up to muddy (water), splash (water)",-LI/3
1693,oktakasbi,"to be thin (not dense), watery, diluted, liquid",
1694,oktakasbichi,"to thin out, water down, dilute",-LI/3
1695,oktakílwo,Negative form of oktalwa,
1696,oktákkasbi,"to be getting thinner, more watery",
1697,oktákkasbìichi,"to make a bit thinner, dilute some, water down",-LI/3
1698,oktalwa,to soak (of a thing),Other Verb
1699,oktalwachi,to soak (something),-LI/3
1700,oktalwatíkko,Negative form of oktalwa,
1701,oktapaski,"to be clear (of water), be thin and watery (of soup)",Other Verb
1702,oktayli,"to pick up and float away, set adrift (logs, a boat, etc.) (as a rising river)",Other Verb
1703,oktohbi,muddy water,
1704,oktohbichi,to make water muddy,-LI/3
1705,oktòmbi,to make a loud booming splash by cupping the hands and slapping the water,-LI
1706,oktoobi,Var. of oktohbi,
1707,okwaala,"toad, frog",
1708,okwaalasi,"toad, tadpole",
1709,okwaaɬa,Var. of okòoɬa,
1710,okwalbi,"to soak up, become saturated",Other Verb
1711,okwalbichi,"to soak, add water to something dry",-LI/3
1712,okwani,willow oak,
1713,okwayli,Var. of imokwayli,
1714,okwooɬa,Var. of okòoɬa,
1715,okwòoɬa,Var. of okòoɬa,
1716,okyaala,Var. of okyaali,
1717,okyaali,"large white grub species, prob. pine beetle grub",
1718,ola,"to chirp, crow, hoot, play (of an instrument), make a musical noise",Other Verb
1719,olaachi,"to make something sound, play (a musical instrument), make music, ring (a bell)",-LI/3
1720,olaachilka,Var. of olaatilka,
1721,olaachilka halailka,Var. of olaatilka halailka,
1722,olaachilkasi,any small musical instrument,
1723,olaana,Var. of olahna,
1724,olaatíkko,Negative form of olaachi,
1725,olaatilka,"musical instrument (e.g. guitar, banjo, piano, horn, jew's harp, etc. (not drums)); radio, television",
1726,olaatilka halailka,"accordion, squeeze box, concertina",
1727,olahna,"to be overgrown with weeds, grown over, grown up, dense (with vegetation), weedy (as an old field)",
1728,olatíkko,Negative form of ola,
1729,olbi,"to be soaking, soak",
1730,olbichi,to soak something,-LI/3
1731,olfa,to sprout (of seeds),Other Verb
1732,olfa,sewing,
1733,olfachi,"to grow (something), grow (a beard)",-LI/3
1734,olmo,"to be moist, muddy-looking, mixed with water",Other Verb
1735,òlmo,"to be mixed into a paste with water (as flour, mud, cement, etc.)",
1736,olmochi,"to mix with water, moisten, stir (a batter)",-LI/3
1737,olmochitíkko,Negative form of olmochi,
1738,olmotíkko,Negative form of olmo,
1739,oɬa,"to come, arrive (at a place), visit a place",-LI
1740,oɬaabíhoka,oɬa,
1741,oɬaachi,Var. of oɬachi,
1742,oɬachi,"to come, arrive (of more than one)",
1743,oɬholiha,oɬa,
1744,oɬkìicho,Negative form of oɬachi,
1745,óɬko,Negative form of oɬa,
1746,ombahi,to put on a skirt,-LI
1747,ombitìika,"to be buried, to be bogged down, be stuck in mud (of one)",CHA-
1748,ombitìili,to bury (one thing),-LI/CHA-
1749,ombitka,"to be buried (of more than one); to be bogged down, be stuck in mud (of more than one)",CHA-
1750,ombitli,to bury (more than one thing),-LI/CHA-
1751,ommi,"to be, do",-LI
1752,ommochi,"to mix with water, moisten, stir (a batter)",-LI/3
1753,ompoffichi,Var. of onapoffichi,
1754,ompofka,Var. of onapofka,
1755,onáami,"all of something, everything",
1756,onaapi,to be pregnant,CHA-
1757,onaapichi,to make pregnant,-LI/CHA-
1758,onaapitíkko,Negative form of onaapi,
1759,onaati,"to build a fire around, under, or on something (e.g. a pot), lay a fire around, set a fire around",-LI/3
1760,onaatichi,"to build a fire around, under, or on something (e.g. a pot), lay a fire, set a fire (of more than one)",
1761,onaatitoka,onaati,
1762,onabalàaka,to sleep over at place (of one),-LI
1763,onabifitli,to be steam sprayed on,Other Verb
1764,onabifitlichi,"to steam (something), use steam on",-LI/3
1765,onabilaachi,"to weld, solder",-LI/3
1766,onabiɬka,to plant by staking to a pole,-LI/3
1767,onachakli,to chop down (e.g. to get something out of a tree),-LI/CHA-
1768,onachókkòoli,to sit up with (e.g. a sick person) (of one),-LI/CHA-
1769,onachokòoli,to sit down beside (of one),-LI/CHA-
1770,onafayli,"to faint, pass out",CHA-
1771,onafinapka,"to be locked in, locked out, locked up (of one)",CHA-
1772,onafohli,"to lick (a vertical surface, as a saltlick)",-LI/3
1773,onahochifa,to name after,-LI/CHA-
1774,onaholchifa,to be named after,CHA-; -LI/CHA-
1775,onaholihtachi,"to fence in, put up a fence around",-LI/3
1776,onahotcha,to shoot off,-LI/3
1777,onakachàali,to eat (something) off of (esp. a vertical surface),-LI/3
1778,onakacháali,salt lick,
1779,onakafihli,"to try very hard, try too hard, overachieve, strive",-LI
1780,onakìipo,Negative form of onaapi,
1781,onakìito,Negative form of onaati,
1782,onakitayli,to light or set fire to (a pile of something),-LI/3
1783,onakoloffi,"to shorten, condense (one object)",-LI/3
1784,onalaska,"to lick something sticking up (e.g. popsicle, saltlick)",-LI/3
1785,onalitihko,"to be filthy, very dirty",CHA-
1786,onaloska,"to tell a lie about, falsely accuse",-LI/CHA-
1787,onaloskachi,to make someone lie about someone,-LI/CHA-
1788,onaɬakhaniichi,to get blood on; to make bleed on something,Other Verb
1789,onaɬatoffi,"to break open against, smash one thing against another so it spews open (like an egg or a tick when one tries to remove it)",-LI/CHA-
1790,onanachofka,"to break off (of a piece from a solid object), erode, break down piece by piece",
1791,onapalaali,to shine a light on,-LI/CHA-
1792,onapànnichi,to twist or wind around something (e.g. a spool),-LI/3
1793,onapoffichi,to blow or spray (e.g. an aerosol) on,-LI/CHA-
1794,onapofka,to blow on (as a fire to make it come alive),-LI/3
1795,onapoyatli,to be put on to boil,Other Verb
1796,onapoyatlichi,to put (food) on to boil,-LI/3
1797,onasanayli,to screw (one object) in tight,-LI/3
1798,onasannichi,to screw (plural objects) in tight,-LI/3
1799,onasichi,"to be bedewed, dewy, have dew on the surface",
1800,onasihka,"to tie up to an upright, tie to a stake, stake up",-LI/CHA-
1801,onasiipli,to loosen (as a screw),-LI/3
1802,onasikóopa,"to be dependent, needy",
1803,onasikopli,to tie (one object) onto,-LI/3
1804,onatiplichi,Var. of hifoska atiplichi,
1805,onatooɬka,"to run toward, run up to meet (of two)",-LI/CHA-
1806,onatooɬooka,"to run toward, run up to meet someone (of more than one)",-LI/CHA-
1807,onawaliika,"to run toward, run up to meet someone (of one)",-LI/CHA-
1808,onawanhachi,"to tighten, tamp down tight, screw down tight",-LI/3
1809,onayahka,"to go to weeping, come crying to",-LI/CHA-
1810,onayahlichi,to send (someone) crying to,-LI/CHA-
1811,onayíisi,"to take away (one object) from, take off, subtract",-LI/CHA-
1812,onayintohno,to work on,-LI/3
1813,onayipa,to eat on (as animals eating fruit off a tree),-LI/3
1814,onayisi,"to take off of, remove; to subtract from, take (one object) away from",-LI/CHA-
1815,oncholha,"to spread, multiply, branch out; to put out shoots sprout from the trunk, send out roots or shoots,",Other Verb
1816,oⁿíkko,Negative form of onka1,
1817,onka,"to tell, say, ask",Other Verb
1818,onka,to be,Other Verb
1819,onkaffichi,"to cover up with dirt, bury with dirt",-LI/CHA-
1820,onkaliika,Var. of ononkaliika,
1821,onkaliíkko,Var. of ononkaliíkko,
1822,onkasíkko,Negative form of onkaska,
1823,onkaska,"to flick (water) on, squirt, splash on (someone), splatter with, spatter",-LI/CHA-
1824,onkaskachi,to splash on (more than once),-LI/CHA-
1825,onkayapka,to cover with dirt using the feet once,Other Verb
1826,onkayka,to cover with dirt using the feet (more than once),Other Verb
1827,ónko,Negative form of ommi,
1828,onnaaɬholi,onnaaɬi,
1829,onnaaɬi,"to marry, be married, have in-laws, get together",-LI
1830,onnáɬko,Negative form of onnaaɬi,
1831,onokbahka,"to be closed up in, shut up in, be in jail, imprisoned",CHA-
1832,onokbahli,"to close up in, shut up in, put in jail, imprison",-LI/CHA-
1833,onoliyya,to be climbed,Other Verb
1834,ononkaahoka,ononkàaka,
1835,ononkàaka,to climb (of more than one),-LI/3
1836,ononkàakìicho,Negative form of ononkàalìichi,
1837,ononkàalìichi,to make (more than one) climb,-LI/CHA-
1838,ononkaíkko,Negative form of ononkàaka,
1839,ononkaliichi,Var. of ononkaliilichi,
1840,ononkaliika,to climb (of one),-LI/3
1841,ononkaliikìicho,Negative form of ononkaliilichi,
1842,ononkaliíkko,Negative form of ononkaliika,
1843,ononkaliilichi,to make (one) climb,-LI/CHA-
1844,ononkaliilka,to be climbed,
1845,ononkíyyo,Negative form of ononoyya,
1846,ononoyya,to climb (of one),
1847,onoofa,to sew on; to mend by sewing,-LI/3
1848,onòolfa,stitches,
1849,onoolichi,clouds,
1850,onoolichitíkko,Negative form of onoolichi,
1851,onoolochi,Var. of onoolichi,
1852,onóoɬa,to reach,-LI/CHA-
1853,onóostàaka,four times,
1854,onosi,rice,
1855,onosi hoɬka,rice sofkey,
1856,onosikoloffi,rice cutter (harvesting tool),
1857,onostàali,"to make four, do four times",-LI/3
1858,onoyya,Var. of ononoyya,
1859,oⁿsobohkachi,"to be smoked (as meat), smoked out (as bees)",
1860,oⁿsobohlichi,"to smoke (meats), smoke out (bees)",-LI/3
1861,oⁿsobotlichi,to smoke (meat),-LI/3
1862,ontanka,to have it get dark on one,CHA-
1863,onti,"to come, be on the way; to continue in an activity (of one)",-LI
1864,ontibíika,"to come, be on the way (of more than one)",-LI
1865,ontichi,to come (of more than one),
1866,ontiibíyoka,y'all come in! welcome!,
1867,ontitoka,"welcome!, come in!",
1868,ontitokaaha,"welcome, come in",
1869,ontofka,to spit on,-LI/CHA-
1870,ontòklo,"seven, be seven in number",-LI
1871,ontóklochi,"to do seven times, score seven points, make seven",-LI
1872,ontótchìina,"eight, be eight in number",-LI
1873,ontótchìinachi,"to do eight times, make eight",-LI
1874,oobáali,to be younger than; to be behind (someone),-LI/CHA-
1875,oobi,"to be hollow, have a hole",Other Verb
1876,oobihchi,"cave, tunnel",
1877,oobòssi,"shallow hole, depression",
1878,óocha,Var. of ohóocha,
1879,óochachi,to take a long time,-LI
1880,óochafatka,Var. of óohchafatka,
1881,óochafíhnaama,to be very long ago,
1882,oochiika,"to have been put down in liquid, be set down in; to boil, stew (of more than one)",Other Verb
1883,oochiika,to sit down in something (of more than one),Other Verb
1884,oochiili,to put (plural objects) down in liquid,-LI/3
1885,oochoffi,"to flop around, flounder (in water), jump out of water more than once (as fish)",-LI
1886,oochofotli,to jump or walk into water once,-LI
1887,oochókkolìichi,"to have put down in water to soak, leave (one object) sitting in water",-LI/CHA-
1888,oochókkòoli,"to be sitting in, be soaking (of one)",-LI
1889,oochokoochi,Var. of oochokoolichi,
1890,oochokòoli,to sit in (especially down in liquid) (of one),-LI/3
1891,oochokoolichi,to put down in (water) to soak (one object),-LI/CHA-
1892,oochootli,to jump down into water,-LI
